treatment,period,day_of_week,total,mean,std,day_name,pct_of_week
comparison,post,0,106995.0,1506.9718309859154,2674.2910193802823,Monday,14.266608708638234
comparison,post,1,112965.0,1448.2692307692307,2590.6333411719243,Tuesday,15.062642672754038
comparison,post,2,107145.0,1488.125,2651.66747398795,Wednesday,14.286609562007978
comparison,post,3,104376.0,1449.6666666666667,2540.017677658346,Thursday,13.917393808802508
comparison,post,4,111415.0,1569.225352112676,2763.5737018639115,Friday,14.855967187933352
comparison,post,5,102692.0,1630.031746031746,2222.790987288163,Saturday,13.69285089497152
comparison,post,6,104380.0,1630.9375,2325.722382230164,Sunday,13.917927164892369
comparison,pre,0,98315.0,1384.718309859155,2358.2031003232614,Monday,13.790080511684014
comparison,pre,1,111048.0,1423.6923076923076,2444.0053420334643,Tuesday,15.576065307038462
comparison,pre,2,111727.0,1489.6933333333334,2532.13497128269,Wednesday,15.671304738126631
comparison,pre,3,101283.0,1426.5211267605634,2367.594993473063,Thursday,14.206384829017871
comparison,pre,4,106230.0,1361.923076923077,2168.836026142066,Friday,14.90027211266025
comparison,pre,5,94241.0,1597.3050847457628,2206.8355035664267,Saturday,13.218643925154991
comparison,pre,6,90096.0,1580.6315789473683,2162.1572530327444,Sunday,12.637248576317784
gta,post,0,17910.0,814.0909090909091,1217.5590690311853,Monday,12.303612769377676
gta,post,1,20816.0,946.1818181818181,1449.6373811393444,Tuesday,14.29994435552014
gta,post,2,18728.0,814.2608695652174,1237.2349382757177,Wednesday,12.865553319090179
gta,post,3,20483.0,890.5652173913044,1416.2117787857653,Thursday,14.071183716089497
gta,post,4,21930.0,953.4782608695652,1513.6003396347044,Friday,15.065227695837654
gta,post,5,26173.0,1090.5416666666667,1413.7806846450276,Saturday,17.980036684138575
gta,post,6,19527.0,1027.7368421052631,1340.919039817479,Sunday,13.41444145994628
gta,pre,0,18641.0,887.6666666666666,1482.3699380833832,Monday,13.445226623582702
gta,pre,1,23458.0,781.9333333333333,1374.302304075965,Tuesday,16.919592625717666
gta,pre,2,19572.0,850.9565217391304,1430.8083372778185,Wednesday,14.116730619428175
gta,pre,3,20296.0,882.4347826086956,1476.0214899300001,Thursday,14.63893136378062
gta,pre,4,22336.0,1015.2727272727273,1656.6988743200016,Friday,16.11032572632065
gta,pre,5,18459.0,922.95,1282.55778468365,Saturday,13.313955165748247
gta,pre,6,15882.0,835.8947368421053,1160.4136664108116,Sunday,11.455237875421943
reference,post,0,256161.0,1293.7424242424242,2508.3479950522055,Monday,15.517911923350924
reference,post,1,230558.0,1280.8777777777777,2402.7218031204866,Tuesday,13.96691431257663
reference,post,2,238433.0,1295.8315217391305,2319.7702823160735,Wednesday,14.44397193023267
reference,post,3,235838.0,1324.9325842696628,2515.666627953725,Thursday,14.286770086700301
reference,post,4,260783.0,1387.1436170212767,2613.108799798568,Friday,15.797906883199333
reference,post,5,225680.0,1367.7575757575758,2210.5042553280364,Saturday,13.671411193982836
reference,post,6,203291.0,1320.0714285714287,2201.1616455035396,Sunday,12.315113669957304
reference,pre,0,170057.0,960.7740112994351,1530.7040101929404,Monday,13.647193833535967
reference,pre,1,164140.0,927.3446327683616,1422.3034573787681,Tuesday,13.17235042272058
reference,pre,2,165883.0,964.4360465116279,1511.7138647083748,Wednesday,13.31222739839258
reference,pre,3,199325.0,1016.9642857142857,1628.4863929585906,Thursday,15.995971414699522
reference,pre,4,190900.0,1109.8837209302326,1658.488481985824,Friday,15.319859240266592
reference,pre,5,188157.0,1161.462962962963,1542.9554891431185,Saturday,15.099731561397805
reference,pre,6,167633.0,1095.640522875817,1559.8400627121455,Sunday,13.452666128986957
